TransactionID,Month,DayOfWeek,Category,Quantity,SalesAmount,CostPrice,Profit,Discount(%),CustomerType,PaymentMethod
1248,July,Thursday,Garments,2,109.44,97.55,11.89,0,Club-More,Card
743,April,Monday,Confectionery,3,47.85,36.23,11.62,5,Regular,Card
1636,September,Saturday,Confectionery,1,49.23,36.11,13.12,0,Club-More,Cash
1210,July,Friday,Roastery,3,157.17,141.23,15.94,0,Regular,Wallet
1262,July,Friday,Home Furnishing,5,79.54,62.04,17.5,5,Walk-in,Card
1683,September,Wednesday,Deli & Ready Meals,4,57.71,49.75,7.96,10,Walk-in,Card
1780,September,Monday,Beverages,3,175.91,142.65,33.26,0,Walk-in,Card
758,April,Sunday,Home Appliance,5,259.14,206.63,52.51,0,Regular,Card
1761,September,Thursday,Watch & Accessories,4,36.81,26.47,10.34,15,Walk-in,Card
476,March,Wednesday,Biscuits & Cookies,2,51.4,39.77,11.63,0,Club-More,Cash
1649,September,Wednesday,Health & Beauty,2,60.62,45.18,15.44,0,Regular,Cash
735,April,Thursday,Rice & Grains,4,145.87,105.79,40.08,0,Club-More,Cash
1713,September,Thursday,Energy Drinks,4,57.44,45.83,11.61,15,Regular,Cash
637,April,Tuesday,Medicine,5,208.76,155.5,53.26,10,Regular,Card
740,April,Saturday,Organic Foods,5,74.1,64.52,9.58,0,Walk-in,Cash
445,March,Wednesday,Baby Products,4,74.92,56.05,18.87,0,Walk-in,Cash
974,May,Tuesday,Butchery,5,91.65,70.47,21.18,0,Regular,Wallet
838,May,Sunday,Oils & Ghee,2,32.46,28.72,3.74,5,Regular,Cash
104,January,Wednesday,Dry Fruits & Nuts,2,87.25,70.75,16.5,0,Walk-in,Card
628,April,Thursday,Deli & Ready Meals,4,49.19,43.82,5.37,0,Club-More,Card
812,May,Saturday,Canned Foods,3,24.52,18.69,5.83,0,Regular,Card
1411,August,Monday,Frozen Foods,2,67.33,59.89,7.44,0,Regular,Cash
533,March,Friday,Chilled & Dairy,4,48.44,42.78,5.66,0,Regular,Card
1473,August,Tuesday,Chilled & Dairy,3,44.04,35.1,8.94,10,Walk-in,Cash
1238,July,Saturday,Breakfast Cereals,3,68.74,53.0,15.74,0,Walk-in,Cash
137,January,Wednesday,IT Products,3,131.54,108.38,23.16,0,Walk-in,Card
1230,July,Tuesday,Bakery,5,55.96,40.92,15.04,0,Club-More,Wallet
1825,September,Monday,Spices & Condiments,1,28.13,22.27,5.86,0,Club-More,Cash
345,February,Tuesday,Medicine,1,47.77,36.76,11.01,0,Regular,Cash
1656,September,Monday,Roastery,3,131.22,106.43,24.79,0,Walk-in,Cash
110,January,Thursday,Rice & Grains,1,50.77,44.77,6.0,0,Club-More,Card
619,April,Monday,FMCG Food,2,42.62,32.37,10.25,5,Walk-in,Card
1634,September,Friday,Roastery,4,34.42,27.48,6.94,10,Regular,Card
188,January,Sunday,FMCG Non-Food,2,102.22,82.67,19.55,0,Club-More,Cash
457,March,Monday,Personal Care,5,254.59,191.63,62.96,0,Regular,Card
1371,July,Sunday,Jewellery & Accessories,1,181.99,149.68,32.31,0,Club-More,Cash
1662,September,Monday,Oils & Ghee,1,56.96,43.2,13.76,10,Regular,Card
673,April,Friday,FMCG Non-Food,1,113.68,88.98,24.7,0,Club-More,Card
1099,June,Monday,Deli & Ready Meals,1,56.05,40.75,15.3,5,Regular,Card
181,January,Thursday,Confectionery,4,43.96,36.45,7.51,0,Walk-in,Card
784,April,Saturday,Water & Juices,5,96.79,85.36,11.43,0,Regular,Cash
1151,June,Thursday,Canned Foods,2,65.78,54.87,10.91,0,Regular,Card
1843,September,Sunday,Breakfast Cereals,4,192.97,138.23,54.74,0,Regular,Card
319,February,Tuesday,Frozen Foods,4,91.46,64.2,27.26,0,Regular,Cash
1045,June,Wednesday,Health & Beauty,5,87.74,67.42,20.32,0,Club-More,Cash
1363,July,Wednesday,Home Furnishing,1,79.82,60.92,18.9,0,Club-More,Cash
1833,September,Wednesday,Household,5,44.88,37.21,7.67,10,Regular,Card
1059,June,Friday,Jewellery & Accessories,1,445.24,323.5,121.74,0,Regular,Card
1818,September,Friday,Personal Care,1,84.09,68.62,15.47,10,Regular,Card
1685,September,Monday,Luggage,5,69.48,56.02,13.46,5,Regular,Cash
1549,August,Wednesday,Oils & Ghee,2,123.94,104.62,19.32,0,Club-More,Card
1263,July,Thursday,Rice & Grains,1,56.2,43.73,12.47,0,Club-More,Card
732,April,Sunday,Soft Drinks,3,70.07,49.52,20.55,0,Walk-in,Wallet
416,March,Wednesday,Frozen Foods,3,63.77,51.21,12.56,0,Regular,Card
1249,July,Sunday,FMCG Food,3,64.34,56.01,8.33,0,Regular,Card
910,May,Monday,Dry Fruits & Nuts,1,104.04,89.43,14.61,0,Club-More,Cash
1536,August,Friday,Personal Care,5,74.8,58.75,16.05,0,Club-More,Card
975,May,Sunday,Water & Juices,2,66.22,51.65,14.57,0,Regular,Wallet
1380,July,Friday,FMCG Non-Food,2,74.91,53.22,21.69,0,Club-More,Card
1186,June,Monday,Organic Foods,5,128.03,113.85,14.18,10,Regular,Card
1,January,Monday,Fruits & Vegetables,1,21.51,17.0,4.51,15,Regular,Card
673,April,Sunday,Household,3,122.14,101.03,21.11,15,Regular,Cash
882,May,Friday,Stationery,2,131.7,100.44,31.26,0,Walk-in,Cash
1127,June,Sunday,Baby Products,2,95.39,85.2,10.19,0,Regular,Cash
1605,August,Friday,Fish,4,48.36,42.79,5.57,10,Club-More,Cash
313,February,Wednesday,Electronics,4,370.55,330.56,39.99,0,Regular,Card
894,May,Wednesday,Pet Care,4,100.08,83.32,16.76,0,Walk-in,Card
1814,September,Saturday,Soft Drinks,4,161.74,123.53,38.21,0,Regular,Card
70,January,Saturday,IT Products,1,36.83,30.07,6.76,0,Regular,Card
561,March,Tuesday,Snacks,2,33.84,25.72,8.12,0,Regular,Card
1116,June,Sunday,Pulses & Lentils,2,63.9,47.74,16.16,0,Walk-in,Card
612,April,Saturday,Spices & Condiments,1,42.13,31.19,10.94,0,Regular,Cash
1261,July,Monday,Luggage,5,87.86,76.74,11.12,0,Club-More,Card
1391,July,Sunday,Stationery Premium,2,31.49,25.22,6.27,0,Walk-in,Cash
123,January,Monday,Bakery,5,147.62,124.24,23.38,0,Club-More,Card
621,April,Friday,Imitation Jewelry,3,196.3,145.17,51.13,0,Regular,Card
1568,August,Sunday,FMCG Food,1,50.83,36.22,14.61,0,Club-More,Cash
248,February,Friday,Oils & Ghee,3,106.72,89.4,17.32,0,Regular,Cash
61,January,Sunday,Fruits & Vegetables,2,60.15,51.09,9.06,0,Club-More,Cash
134,January,Monday,Water & Juices,2,58.82,50.12,8.7,0,Regular,Cash
1768,September,Tuesday,Organic Foods,3,70.25,50.6,19.65,0,Club-More,Card
1508,August,Wednesday,Butchery,3,165.49,117.63,47.86,0,Regular,Cash
1718,September,Thursday,Fish,2,92.85,82.66,10.19,0,Regular,Card
797,April,Tuesday,Energy Drinks,5,76.38,60.36,16.02,0,Club-More,Cash
481,March,Friday,Personal Care,2,47.43,41.31,6.12,0,Club-More,Cash
367,February,Saturday,Butchery,2,98.05,79.49,18.56,0,Regular,Card
1637,September,Wednesday,Fruits & Vegetables,5,184.4,149.75,34.65,5,Club-More,Cash
1573,August,Thursday,IT Products,3,30.79,27.23,3.56,10,Regular,Cash
994,May,Thursday,Energy Drinks,4,79.19,61.21,17.98,0,Regular,Cash
1649,September,Thursday,Rice & Grains,1,26.98,23.19,3.79,0,Club-More,Cash
358,February,Friday,Bakery,2,50.28,42.6,7.68,5,Regular,Wallet
584,March,Tuesday,Stationery,1,99.31,79.45,19.86,10,Regular,Cash
95,January,Monday,Butchery,5,22.59,17.89,4.7,0,Walk-in,Card
1164,June,Monday,IT Products,3,153.67,121.97,31.7,5,Walk-in,Card
783,April,Wednesday,Oils & Ghee,2,230.89,190.67,40.22,0,Walk-in,Card
1551,August,Monday,Health & Beauty,1,75.89,57.16,18.73,10,Regular,Card
782,April,Tuesday,Fish,3,128.78,92.09,36.69,0,Walk-in,Card
1121,June,Thursday,Deli & Ready Meals,2,112.07,91.27,20.8,10,Regular,Card
478,March,Thursday,Kitchenware,5,191.51,158.29,33.22,0,Club-More,Card
365,February,Saturday,Beverages,2,174.88,134.63,40.25,5,Regular,Cash
1784,September,Tuesday,Tobacco & Accessories,4,56.12,40.49,15.63,0,Regular,Card
1022,June,Monday,Stationery,5,128.14,114.06,14.08,0,Walk-in,Card
864,May,Wednesday,Beverages,3,50.75,40.71,10.04,0,Walk-in,Card
1316,July,Monday,Energy Drinks,2,94.68,75.7,18.98,0,Walk-in,Card
1541,August,Tuesday,Household,2,78.3,54.86,23.44,0,Regular,Card
4,January,Monday,Frozen Foods,5,110.32,83.07,27.25,0,Regular,Card
1189,July,Sunday,Bakery,2,132.49,105.04,27.45,0,Club-More,Cash
745,April,Monday,Medicine,2,157.76,112.59,45.17,0,Club-More,Wallet
1578,August,Saturday,Home Furnishing,1,61.45,46.99,14.46,10,Walk-in,Cash
1543,August,Sunday,Rice & Grains,2,65.21,51.58,13.63,0,Walk-in,Cash
1399,July,Sunday,Stationery Premium,5,74.0,60.77,13.23,0,Regular,Cash
3,January,Friday,FMCG Non-Food,3,80.48,70.07,10.41,5,Club-More,Card
1385,July,Friday,Footwear,3,127.62,94.2,33.42,15,Club-More,Card
374,February,Monday,Energy Drinks,3,101.45,87.58,13.87,5,Regular,Cash
11,January,Wednesday,Footwear,2,151.31,130.26,21.05,0,Regular,Cash
14,January,Saturday,Pet Care,5,75.83,62.42,13.41,0,Regular,Card
177,January,Wednesday,Jewellery & Accessories,3,569.03,404.65,164.38,5,Regular,Card
105,January,Monday,Ice Cream,2,161.3,144.32,16.98,0,Walk-in,Wallet
147,January,Sunday,Water & Juices,2,118.45,90.52,27.93,0,Club-More,Card
1025,June,Friday,Toys & Sports,4,94.73,76.88,17.85,5,Regular,Card
1103,June,Thursday,Frozen Foods,5,66.85,52.57,14.28,0,Regular,Card
1024,June,Wednesday,Deli & Ready Meals,5,57.18,42.68,14.5,0,Club-More,Card
513,March,Tuesday,Electronics,4,659.49,585.39,74.1,0,Walk-in,Cash
1854,September,Saturday,Canned Foods,4,43.29,31.51,11.78,0,Regular,Cash
31,January,Thursday,IT Products,2,180.25,156.04,24.21,0,Regular,Cash
250,February,Thursday,Snacks,5,60.52,46.4,14.12,0,Club-More,Card
516,March,Thursday,Watch & Accessories,3,39.82,27.91,11.91,0,Regular,Cash
1809,September,Thursday,Butchery,4,96.4,83.61,12.79,5,Regular,Wallet
949,May,Wednesday,Spices & Condiments,5,26.89,22.72,4.17,15,Club-More,Card
1191,July,Monday,Breakfast Cereals,1,25.25,18.5,6.75,0,Regular,Cash
1105,June,Tuesday,Imitation Jewelry,4,100.89,87.61,13.28,15,Club-More,Cash
